hashtag,CreationTimeofDay,MinRank,Duration2hsl
北京3天现2次日晕,2021-10-13 11:26:00,24,1.8850217358333334
广东省消委会约谈万科,2021-10-13 20:24:00,32,17.422794828055554
来华航班乘客凭新冠核酸阴性证明登机,2021-10-13 13:17:00,12,0.6236883819444444
小学生发明防雾口罩,2021-10-13 11:57:00,15,2.1258955383333333
硕士爸爸带1岁宝宝参加毕业典礼,2021-10-13 18:45:00,16,259.7518985436111
兰州大学李吉均院士逝世,2021-10-13 13:38:00,20,0.9526059122222222
驻英使馆回应英国暂停与香港引渡协定,2021-10-13 23:25:00,33,15.253489405277778
货车司机1小时同路段被开4张罚单,2021-10-13 19:57:00,9,18.888160425833334
助学贷款还本宽限期延长至5年,2021-10-13 14:39:00,8,1.1133793966666667
本世纪以来最长的梅雨季,2021-10-13 23:54:00,22,136.0320169486111
印度渔民发现金色乌龟,2021-10-13 10:23:00,22,5.548683648611111
军中女神算被称作行走的天气预报,2021-10-13 09:00:00,22,7.015978855833334
王婷,2021-10-13 14:30:00,4,67874.02073532082
乌克兰发生公交劫持事件,2021-10-13 16:03:00,11,0.5548880577777777
北京电影院7月24日恢复营业,2021-10-13 14:27:00,13,2.2389409780555556
肇东中储粮三名管理人员被停职,2021-10-13 15:11:00,33,1.5056076877777778
新中国成立以来1.4万余名民警牺牲,2021-10-13 15:24:00,14,1.3733714019444445
马斯克成世界第五大富豪,2021-10-13 09:34:00,23,7.6270764163888884
南昌2名牺牲消防员被评为烈士,2021-10-13 14:56:00,22,2.3443587783333335
数十名外卖小哥11秒抬车救人,2021-10-13 15:03:00,19,2.39599449
香港新增确诊病例61例,2021-10-13 10:51:00,12,7.267812695555555
金沙咸蛋黄吮指酥,2021-10-13 11:41:00,28,6.434479427777778
杭州公安悬赏通缉8名命案在逃人员,2021-10-13 16:26:00,12,2.1049656022222223
外交部回应在永兴岛部署战斗机,2021-10-13 17:11:00,8,1.6080068419444447
美军在建新航母也着火了,2021-10-13 15:03:00,27,3.7413402583333335
意大利警方截获咖啡豆藏毒包裹,2021-10-13 16:45:00,23,27.04924131055556
乌鲁木齐市动员居民非必要不离乌,2021-10-13 18:11:00,12,1.7843050355555556
广东高考7月23日放榜,2021-10-13 19:04:00,17,0.9849166702777779
VG EDG,2021-10-13 17:06:00,37,47595.20381128278
特朗普呼吁美国人戴上口罩,2021-10-13 06:58:00,2,24.521957221666668
姜小果人设,2021-10-13 20:19:00,3,59.17195735277778
滴滴部分股权将进行网络拍卖,2021-10-13 18:52:00,20,12.789922514722223
美国新冠肺炎确诊超388万例,2021-10-13 06:58:00,11,24.85792686472222
美疾控中心称美感染人数远超公布数据,2021-10-13 05:11:00,12,2.6412602416666666
医院设高层次人才优先通道,2021-10-13 19:05:00,19,12.741260285
90后小伙保持5项吉尼斯纪录,2021-10-13 07:40:00,20,1.2500213913888887
丹麦法罗群岛数百鲸鱼和海豚被捕杀,2021-10-13 12:08:00,29,20.951373199444443
新疆新增本土病例9例,2021-10-13 08:42:00,12,0.8045108002777779
10支核酸检测医疗队驰援乌鲁木齐,2021-10-13 08:06:00,12,1.4045108336111112
31省区市新增确诊14例,2021-10-13 08:42:00,39,1.056764713888889
浙大犯强奸罪学生成绩单,2021-10-13 22:45:00,2,11.090616741666667
印度女官员在记者会上服毒自杀,2021-10-13 08:02:00,6,2.0597173580555554
新疆尚有3162人接受医学观察,2021-10-13 09:23:00,15,1.0457970502777778
伊能静为蓝盈莹写小作文,2021-10-13 08:22:00,3,2.1463875325
成都高空抛物入刑首案宣判,2021-10-13 19:56:00,26,14.748082391944445
美国出现企业破产潮,2021-10-13 01:40:00,28,9.014749115833334
芝加哥突发大规模枪击事件,2021-10-13 09:31:00,7,1.3326044944444444
加内特有意收购森林狼,2021-10-13 06:44:00,35,4.3688248622222225
广西科协回应学生抄袭老师专利获奖,2021-10-13 21:10:00,33,14.271708161666668
日作诗2000首女孩师门起底,2021-10-13 12:20:00,30,167.18890935444443
苹果2030年实现碳中和,2021-10-13 20:03:00,22,15.724459026944444
杨幂Tmagazine封面,2021-10-13 11:01:00,19,0.8417913772222222
影院负责人抵房贷款付工资,2021-10-13 00:48:00,26,11.143361980833335
柳叶刀主编直言特朗普不尊重科学,2021-10-13 19:30:00,26,64.5280982525
李易峰森系封面,2021-10-13 11:00:00,24,1.1961776077777777
喜欢你我也是结局,2021-10-13 19:47:00,6,9520.58088665722
冲绳暴发聚集性感染,2021-10-13 13:15:00,27,95.11422001722222
